complex,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,W
W,P,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,P,W
W,P,P,P,P,P,P,P,P,P,W,X,X,X,W,P,P,P,P,W
W,P,W,W,W,W,W,W,W,P,W,X,W,X,W,X,X,X,X,W
W,P,P,P,P,P,P,P,W,P,W,X,W,X,W,X,P,W,X,W
W,P,W,P,P,P,P,P,W,P,W,X,W,X,W,X,P,W,X,W
W,P,W,P,P,P,P,P,W,P,W,X,W,X,W,X,P,W,X,W
W,P,W,W,W,P,W,W,W,P,W,X,W,X,W,X,P,W,X,W
W,P,P,P,P,P,P,P,X,F,W,X,W,X,W,X,P,W,X,W
W,P,W,W,W,W,W,P,X,W,S,X,W,X,W,X,P,W,X,W
W,P,W,P,P,P,P,P,X,W,P,P,W,X,X,X,P,W,X,W
W,P,W,P,P,W,W,W,X,W,W,W,W,W,W,W,W,W,X,W
W,P,W,P,P,W,P,P,X,X,X,X,X,P,P,P,P,W,X,W
W,P,W,P,P,W,P,W,W,W,W,W,X,W,W,W,P,W,X,W
W,P,W,P,P,W,P,P,W,P,P,W,X,W,P,P,P,W,X,W
W,P,W,P,P,W,P,P,W,P,P,W,X,W,P,P,P,W,X,W
W,P,W,P,P,W,P,W,W,W,W,W,X,W,W,W,W,W,X,W
W,P,P,P,P,W,P,P,P,P,P,P,X,X,X,X,X,X,X,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
